id_inmueble,link_inmueble,link_inmueble_siguiente,titulo,localizacion,municipio,precio,precio_bajada,metros_cuadrados,habitaciones,baños,consumo_energia,emisiones_energia,descripcion,breadcrumb,fotos_total,ref_catastral,edificabilidad_m2techo,parcela_m2,parcela_min_m2,fachada_min_m,altura_max_m,sector_urbanistico,anunciante,zona,fecha_inclusion
https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/aire-acondicionado-calefaccion-trastero-ascensor/187548893/d,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/aire-acondicionado-calefaccion-trastero-ascensor/187548893/d,,Piso en venta en Eixample,Alcoy / Alcoi,Alcoy / Alcoi,215000,,115,4,2,Etiqueta de calificación energética: E Consumo energía: 195 kW h m² / año,Etiqueta de calificación energética: E Emisiones: 37 kg CO₂ m² / año,"Presentamos un piso de 115 m² que será entregado con reforma integral a estrenar, diseñado con los más altos estándares de calidad. Detalles del proyecto: Superficie: 115 m² Reforma integral incluida en el precio Planimetría disponible: estado actual y propuestas de redistribución Imágenes de referencia: materiales, acabados y estilo característico de la promotora Sobre la promotora: Con más de 5 proyectos entregados al año y la confianza de sus clientes, la empresa garantiza diseños modernos, funcionales y elegantes, adaptados a las necesidades actuales de cada comprador. Ventajas: Ubicación privilegiada en una de las principales avenidas de la ciudad Flexibilidad en la propuesta de distribución Acabados de alta calidad y diseño contemporáneo Respaldo y experiencia de una promotora consolidada Podrás ver tanto el estado actual del piso como una reforma finalizada recientemente, para que compruebes de primera mano la calidad y estilo que recibirás. Contacta y te ampliamos la información. [IW]",Alicante > Alcoià > Alcoy / Alcoi > Eixample,14,,,,,,,,Sofia Paños Servicios Inmobiliarios,Eixample,2025-09-12
https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/terraza-no-amueblado/187539626/d,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/terraza-no-amueblado/187539626/d,,Piso en venta en Zona Nord,Alcoy / Alcoi,Alcoy / Alcoi,80000,,70,3,1,Etiqueta de calificación energética: G Consumo energía: 999 kW h m² / año,Etiqueta de calificación energética: G Emisiones: 999 kg CO₂ m² / año,"Piso muy luminoso, reformado cuenta con tres habitaciones un baño, comedor y cocina. Buenas vistas, balcón grande y cómodo, aire acondicionado en el comedor. Listo para entrar a vivir. Este inmueble está sujeto a cambios de precio o retirada del mercado sin previo aviso. La información de este anuncio en su totalidad (Fotos, texto o cualquier otro contenido del mismo) se muestra a título informativo y no contractual y no es vinculante, dado que la información es ofrecida por terceros y puede contener errores. El precio no incluye lo siguiente: honorarios de la agencia inmobiliaria, ITP y otros gastos de la Compraventa (Notaria, Gestoría y registro). Negociación y mediación para conseguir un acuerdo que beneficie a las dos partes. Estudio Financiero gratuito  que le conseguirá la mejor financiación y préstamo hipotecario (Pudiendo llegar hasta el 100%+gastos). No trabajamos para el banco, TRABAJAMOS PARA TI. Gestión de los documentos y asesoramiento legal y fiscal. Acompañamiento durante la firma de las arras y del contrato final de compraventa ante el notario para ayudar a verificar que todo sea correcto. Nuestro objetivo es encontrar siempre la mejor solución adaptada a todas las necesidades de nuestros clientes. Te invitamos a venir a visitarlo; estaremos encantados de atenderte y mostrarte todas las posibilidades que este piso tiene para ofrecer. Si quiere vender su casa sin problemas al mejor precio, hemos creado un formulario de contacto para poder asesorarle y tasar su piso totalmente GRATIS, contáctenos:  https://adanpa.mobiliagestion.es/es/contacto Y si lo que  quiere es ver más inmuebles de nuestra inmobiliaria en este portal de internet, puede pulsar en nuestro logo ( gestores inmobiliarios), allí, encontrará más inmuebles como éste o bien, visitar nuestra página web donde encontrará el piso que está buscando, entre en: www.gestoresinmobiliarios.online",Alicante > Alcoià > Alcoy / Alcoi > Zona Nord,25,,,,,,,,GESTORES INMOBILIARIOS,Zona Nord,2025-09-12
https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/trastero/187178694/d,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/trastero/187178694/d,,Piso en venta en Eixample,Alcoy / Alcoi,Alcoy / Alcoi,75000,,64,3,1,Etiqueta de calificación energética: G Consumo energía: 999 kW h m² / año,Etiqueta de calificación energética: G Emisiones: 999 kg CO₂ m² / año,"Piso en Barrio Eixample, con 64 m² construidos, 3 dormitorios, 1 baños, para reformar, exterior, planta 4, trastero. Se vende vivienda en el Barri Eixample. Tiene una superficie de 64m2, distribuidos en 3 habitaciones, 1 baño, comedor, cocina y galería. Incluye trastero. Está cerca de supermercados, colegios, parques y con buen acceso a las vías principales de la ciudad. ¡Contáctanos para más información o para concertar una visita!",Alicante > Alcoià > Alcoy / Alcoi > Eixample,23,,,,,,,,Campello y Playas,Eixample,2025-09-12
https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/calefaccion-trastero-ascensor-no-amueblado/187550974/d,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/calefaccion-trastero-ascensor-no-amueblado/187550974/d,,Piso en venta en Santa Rosa,Alcoy / Alcoi,Alcoy / Alcoi,140000,,156,4,2,Etiqueta de calificación energética: G Consumo energía: 999 kW h m² / año,Etiqueta de calificación energética: G Emisiones: 999 kg CO₂ m² / año,"Piso en la zona de Santa Rosa. Segundo piso en edificio con ascensor, vivienda de 156 m2 semireformada, cuatro dormitorios, cocina independiente con despensa y con salida a una galería, amplio salón comedor con salida a un amplio balcón, dos baños completamente equipados, calefacción, armarios empotrados. Dispone de trastero.",Alicante > Alcoià > Alcoy / Alcoi > Santa Rosa,11,,,,,,,,INMOBILIARIA CANTO,Santa Rosa,2025-09-12
https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/eixample/186582791/d,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/eixample/186582791/d,,Piso en venta en Eixample,Alcoy / Alcoi,Alcoy / Alcoi,142795,51245,359,,,Etiqueta de calificación energética: G Consumo energía: 999 kW h m² / año,Etiqueta de calificación energética: G Emisiones: 999 kg CO₂ m² / año,"¡Gran Oportunidad de Inversión en Subastas de Activos con Cesión de Remate! otros en ALCOY, Alicante/Alacant ¿Estás buscando una inversión segura y rentable? ¡Esta es tu oportunidad! Presentamos un activo ubicado en CALLE PERU Nº 27, ALCOY. ¡Atención! La compra de inmuebles en cesión de remate se realiza SIN VISITAS PREVIAS y los pagos deben ser AL CONTADO. ¿Qué es la cesión de remate? Las cesiones de remate son útiles cuando el adjudicatario inicial, por cualquier motivo, prefiere transferir el inmueble a otra persona o entidad, permitiendo a inversores interesados ​​adquirir inmuebles en condiciones ventajosas. ¿Por qué elegirnos? Contamos con una experiencia de más de 23 años en el sector, con un equipo de analistas y abogados especializados en subastas.Gestionamos de manera integral todo el proceso, desde la puja hasta la toma de posesión. Y contarás con la seguridad y la confianza suficiente para minimizar riesgos con el respaldo de nuestros profesionales. En SUBASTA FÁCIL , nos encargamos de gestionar todo el proceso de subasta, desde la puja hasta la toma de posesión, incluyendo las cesiones de remate, para que tengas la tranquilidad de contar con un proceso legal y financiero controlado. ¡No dejes pasar esta oportunidad! Contáctanos ya Nota: Las fotografías pueden no corresponderse con el estado actual del inmueble. El precio está ajustado considerando que el inmueble se adquiere en subasta. ¡Consulta con nosotros y asegura tu inversión hoy mismo!",Alicante > Alcoià > Alcoy / Alcoi > Eixample,7,,,,,,,,SUBASTAFÁCIL.COM,Eixample,2025-09-12
https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/centre-zona-alta/187046541/d,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/centre-zona-alta/187046541/d,,Piso en venta en Centre - Zona Alta,Alcoy / Alcoi,Alcoy / Alcoi,401254,379916,1661,,,Etiqueta de calificación energética: G Consumo energía: 999 kW h m² / año,Etiqueta de calificación energética: G Emisiones: 999 kg CO₂ m² / año,"¡Gran Oportunidad de Inversión en Subastas de Activos con Cesión de Remate! otros en ALCOY, Alicante/Alacant ¿Estás buscando una inversión segura y rentable? ¡Esta es tu oportunidad! Presentamos un activo ubicado en CALLE GONZALO BARRACHINA, Nº5, ALCOY. ¡Atención! La compra de inmuebles en cesión de remate se realiza SIN VISITAS PREVIAS y los pagos deben ser AL CONTADO. ¿Qué es la cesión de remate? Las cesiones de remate son útiles cuando el adjudicatario inicial, por cualquier motivo, prefiere transferir el inmueble a otra persona o entidad, permitiendo a inversores interesados ​​adquirir inmuebles en condiciones ventajosas. ¿Por qué elegirnos? Contamos con una experiencia de más de 23 años en el sector, con un equipo de analistas y abogados especializados en subastas.Gestionamos de manera integral todo el proceso, desde la puja hasta la toma de posesión. Y contarás con la seguridad y la confianza suficiente para minimizar riesgos con el respaldo de nuestros profesionales. En SUBASTA FÁCIL , nos encargamos de gestionar todo el proceso de subasta, desde la puja hasta la toma de posesión, incluyendo las cesiones de remate, para que tengas la tranquilidad de contar con un proceso legal y financiero controlado. ¡No dejes pasar esta oportunidad! Contáctanos ya Nota: Las fotografías pueden no corresponderse con el estado actual del inmueble. El precio está ajustado considerando que el inmueble se adquiere en subasta. ¡Consulta con nosotros y asegura tu inversión hoy mismo!",Alicante > Alcoià > Alcoy / Alcoi > Centre - Zona Alta,4,,,,,,,,SUBASTAFÁCIL.COM,Centre - Zona Alta,2025-09-12
https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/calefaccion-parking-ascensor-amueblado/187549880/d,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/calefaccion-parking-ascensor-amueblado/187549880/d,,Piso en venta en Eixample,Alcoy / Alcoi,Alcoy / Alcoi,120000,,107,4,2,Etiqueta de calificación energética: G Consumo energía: 999 kW h m² / año,Etiqueta de calificación energética: G Emisiones: 999 kg CO₂ m² / año,"Estupendo piso muy bien ubicado en la zona de santa rosa Alcoy. Nos ofrece ciento siete metros cuadrados, con muy buena distribución. Accedemos a la propiedad por un amplio recibidor que nos comunica con el salón, es amplio con mucha luz. A su lado encontramos una cocina completa muy funcional con zona de comidas y salida a una luminosa galería. La propiedad cuenta con cuatro amplias habitaciones con armarios empotrados, dos baños completos uno de ellos en suite. La vivienda se encuentra en buen estado con una ubicación privilegiada cerca de colegios, supermercados y a unos minutos de la autovía que nos comunica con Alicante, Valencia y alrededores.",Alicante > Alcoià > Alcoy / Alcoi > Eixample,19,,,,,,,,Inmobiiaria Tarrazó,Eixample,2025-09-12
https://www.fotocasa.es/es/comprar/vivienda/alcoleja/no-amueblado/179506164/d,https://www.fotocasa.es/es/comprar/vivienda/alcoleja/no-amueblado/179506164/d,,"Casa o chalet en venta en Carrer de Sant Xoxim, Alcoleja",Alcoleja,Alcoleja,80000,,125,5,1,Etiqueta de calificación energética: G Consumo energía: 999 kW h m² / año,Etiqueta de calificación energética: G Emisiones: 999 kg CO₂ m² / año,"Casa de pueblo para reformar de 291m² según catastro y 125m² registrados en escritura. Se distribuye en de planta baja con salón comedor, cocina independiente y despensa, en la primera planta encontramos un dormitorio y un baño completo, la segunda planta se distribuye en tres dormitorios y una despensa-vestidor. También encontramos en la casa un sótano con bodega y gallinero y buhardilla dividida en tres estancias. Se sitúa en el centro de Alcoleja un pueblo situado a tan solo 3 km de la Aitana.",Alicante > Comtat > Alcoleja,19,,,,,,,,JPG GESTION INMOBILIARIA,Carrer de Sant Xoxim,2025-09-12
https://www.fotocasa.es/es/comprar/vivienda/cocentaina/parking-patio/186076020/d,https://www.fotocasa.es/es/comprar/vivienda/cocentaina/parking-patio/186076020/d,,Casa adosada en venta en Cocentaina,Cocentaina,Cocentaina,161000,2000,190,5,1,Etiqueta de calificación energética: G Consumo energía: 999 kW h m² / año,Etiqueta de calificación energética: G Emisiones: 999 kg CO₂ m² / año,"¡Tu hogar ideal te espera en Cocentaina! Descubre esta impresionante casa en venta, situada en una zona tranquila y urbanizada, con 186 m² de amplitud y confort para disfrutar en familia. Su excelente distribución ofrece 4 espaciosas habitaciones dobles, perfectas para el descanso y la privacidad, además de 2 baños completos que aportan comodidad y funcionalidad al día a día. El salón y el comedor destacan por su luminosidad natural, creando un ambiente cálido y acogedor, ideal para reuniones familiares o momentos de relax. La cocina independiente es amplia y práctica, acompañada de un cómodo lavadero para mayor comodidad. Además, esta vivienda cuenta con detalles que marcan la diferencia: aire acondicionado para una temperatura perfecta todo el año, armarios empotrados que optimizan el espacio de almacenamiento y suelos de gres, que combinan elegancia y durabilidad. Las ventanas con doble acristalamiento garantizan un ambiente tranquilo y eficiente energéticamente. Por si fuera poco, dispondrás de un garaje privado, asegurando comodidad y seguridad para tu vehículo. Esta casa está en perfecto estado de conservación, lista para entrar a vivir. No dejes pasar la oportunidad de adquirir esta joya en Cocentaina, donde la amplitud, el confort y la calidad de vida se unen en un solo lugar. ¡Contáctanos y ven a visitarla cuanto antes! Este anuncio no es vinculante y puede contener errores, el precio no incluye gastos de notaría, ITP, ni honorarios de agencia. ARSIS INMOBILIARIA www.inmoarsis.com",Alicante > Comtat > Cocentaina,32,,,,,,,,Arsis gestió Inmobiliaria,Cocentaina,2025-09-12
https://www.fotocasa.es/es/comprar/vivienda/ibi/no-amueblado/186202783/d,https://www.fotocasa.es/es/comprar/vivienda/ibi/no-amueblado/186202783/d,,Piso en venta en Ibi,Ibi,Ibi,115000,14000,115,3,1,Etiqueta de calificación energética: G Consumo energía: 999 kW h m² / año,Etiqueta de calificación energética: G Emisiones: 999 kg CO₂ m² / año,"Se Vende Piso luminoso en la bonita población de montaña denominación Ibi, a 30 minutos de la playa de Alicante, este piso está completamente reformado, está totalmente equipado de electrodomésticos nuevos preparado para entrar a vivir y se distribuye en 3 amplias habitaciones y 1 baño completo más un trastero, gran cocina, además el salón con un gran balcón, ubicación en una de las calles principales y demandadas en las cuales podrás disfrutar de los magníficos espectáculos de fiestas de moros y Cristianos así también como la cabalgata de Reyes Magos además dispone de todos los servicios en la zona como bancos farmacias colegios supermercados...!! Edificio con posibilidad de ascensor. Te esperamos visítame y compruébalo por ti mismo:) Tu nuevo comienzo, empieza hoy",Alicante > Alcoià > Ibi,12,,,,,,,,SERVICIOS INMOBILIARIOS INTERWORLD,Ibi,2025-09-12
https://www.fotocasa.es/es/alquiler/vivienda/alcoy-alcoi/calefaccion-parking-ascensor/187545206/d,https://www.fotocasa.es/es/alquiler/vivienda/alcoy-alcoi/calefaccion-parking-ascensor/187545206/d,,Piso de alquiler en Zona Nord,Alcoy / Alcoi,Alcoy / Alcoi,650,,135,4,2,Etiqueta de calificación energética: G Consumo energía: 999 kW h m² / año,Etiqueta de calificación energética: G Emisiones: 999 kg CO₂ m² / año,"En la tranquila Zona Norte de Alcoi - Alcoy, se encuentra este luminoso piso en el sexto piso. Con una superficie total de 135m² distribuidos en 4 habitaciones dobles, 2 baños, amplio comedor y cocina. El piso cuenta con balcón, ascensor, calefacción, 2 aparatos A.A./B.C.y parking opcional (50€). Además, dispone de armarios empotrados, lavadero, trastero, puerta blindada y doble acristalamiento. En excelente estado a estrenar, con suelos de terrazo y gas natural. Una oportunidad ideal para disfrutar de un hogar cómodo y soleado. ¡No pierdas esta ocasión única de alquilar en esta zona privilegiada!",Alicante > Alcoià > Alcoy / Alcoi > Zona Nord,13,,,,,,,,INMOBILIARIA NORTE,Zona Nord,2025-09-12
https://www.fotocasa.es/es/alquiler/vivienda/alcoy-alcoi/ascensor-no-amueblado/187540443/d,https://www.fotocasa.es/es/alquiler/vivienda/alcoy-alcoi/ascensor-no-amueblado/187540443/d,,Piso de alquiler en Eixample,Alcoy / Alcoi,Alcoy / Alcoi,675,,90,4,2,Etiqueta de calificación energética: G Consumo energía: 999 kW h m² / año,Etiqueta de calificación energética: G Emisiones: 999 kg CO₂ m² / año,"Primer piso en la zona Ensanche. Vivienda de tres dormitorios, cocina independiente, dos baños completamente equipados, reformado.",Alicante > Alcoià > Alcoy / Alcoi > Eixample,13,,,,,,,,INMOBILIARIA CANTO,Eixample,2025-09-12
https://www.fotocasa.es/es/alquiler/vivienda/alcoy-alcoi/amueblado/187544092/d,https://www.fotocasa.es/es/alquiler/vivienda/alcoy-alcoi/amueblado/187544092/d,,"Piso de alquiler en Alcalde Francesc Boronat , Zona Nord",Alcoy / Alcoi,Alcoy / Alcoi,490,,60,2,1,Etiqueta de calificación energética: G Consumo energía: 999 kW h m² / año,Etiqueta de calificación energética: G Emisiones: 999 kg CO₂ m² / año,"Se alquila Piso muy luminoso en la zona de Zona Norte. Tiene una superficie de 60 m2, distribuidos en 2 habitaciones, 1 baño, comedor y cocina, con muebles y electrodomésticos. Es exterior, con una excelente situación cerca de colegio, farmacia, ambulatorio, parque y parada de bus. Interesados preguntar por. Tenemos más inmuebles. Llámenos sin compromiso y solicite información sobre la referencia 993957. Este anuncio no es vinculante y puede contener errores; se muestra a título informativo y no contractual. Gracias por su tiempo.",Alicante > Alcoià > Alcoy / Alcoi > Zona Nord,8,,,,,,,,ALTAGES INMOBILIARIA,Zona Nord,2025-09-12
https://www.fotocasa.es/es/alquiler/vivienda/balones/terraza-amueblado/160596270/d,https://www.fotocasa.es/es/alquiler/vivienda/balones/terraza-amueblado/160596270/d,,"Casa adosada de alquiler en Cv-720, Balones",Balones,Balones,700,,300,5,2,Etiqueta de calificación energética: E Consumo energía: 100 kW h m² / año,Etiqueta de calificación energética: C Emisiones: 40 kg CO₂ m² / año,"Casa de pueblo totalmente reformada,amueblada con electrodomésticos y menaje de cocina. Pueblo muy tranquilo y agradable. Aparcamiento en la puerta.",Alicante > Comtat > Balones,28,,,,,,,,Julia Peiró,Cv-720,2025-09-12
https://www.fotocasa.es/es/alquiler/vivienda/agres/aire-acondicionado-calefaccion-terraza/187529480/d,https://www.fotocasa.es/es/alquiler/vivienda/agres/aire-acondicionado-calefaccion-terraza/187529480/d,,Piso de alquiler en Agres,Agres,Agres,425,,125,4,1,Etiqueta de calificación energética: G Consumo energía: 999 kW h m² / año,Etiqueta de calificación energética: G Emisiones: 999 kg CO₂ m² / año,"INMOVILCASH ALQUILA Piso en Agres. Larga temporada. Se realiza seguro de impagos. Agres es un tranquilo pueblo de montaña, ideal para desconectar, situado entre la Sierra de Mariola y la Sierra de Agullent. Es perfecto para los amantes de la naturaleza y el senderismo, con numerosas rutas y un clima de montaña. Distancia a Alicante: Agres se encuentra a unos 65-70 km de la ciudad de Alicante. El trayecto en coche dura aproximadamente 55-60 minutos. La vivienda consta de 120m2 de superficie distribuidos en 4 dormitorios amplios, 1 baño completo reformado, amplio salón comedor con chimenea decorativa (no funciona), cocina independiente totalmente amueblada y equipada con butano, carpintería exterior de aluminio e interior de madera, aire acondicionado, 2 terrazas, armarios empotrados. 1° planta sin ascensor. Las estancias de la vivienda son todas exteriores, muy luminosas con vistas despejadas. REQUISITOS ALQUILER: CONTRATO TRABAJO Y NÓMINAS. Mes de fianza + mes en curso. Precio: 425€ mensuales.",Alicante > Comtat > Agres,17,,,,,,,,Inmovilcash,Agres,2025-09-12
