habitaciones,baños,precio,link_inmueble,metros_cuadrados,anunciante,zona,tipo_de_operacion,fecha_inclusion,web
1,1,170000.0,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/centre-zona-alta/184998912/d,322.0,Particular,Desconocido,Venta,2025-09-06,Fotocasa
2,1,450.0,https://www.fotocasa.es/es/alquiler/vivienda/alcoy-alcoi/calefaccion-amueblado/187246290/d,79.0,Particular,Desconocido,Alquiler,2025-09-06,Fotocasa
4,3,700.0,https://www.fotocasa.es/es/alquiler/vivienda/alcoy-alcoi/calefaccion-parking-trastero-ascensor/187208875/d,135.0,Particular,Desconocido,Alquiler,2025-09-06,Fotocasa
3,1,550.0,https://www.fotocasa.es/es/alquiler/vivienda/alcoy-alcoi/calefaccion-terraza/184443456/d,89.0,Particular,Desconocido,Alquiler,2025-09-06,Fotocasa
4,2,113000.0,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/calefaccion-ascensor/176956239/d,128.0,INMOBILIARIA CANTO,El Cami,Venta,2025-09-07,Fotocasa
3,2,175000.0,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/aire-acondicionado-calefaccion-parking-jardin-trastero-ascensor/187251691/d,102.0,Inmobiliaria Sanchéz,Barrio Santa Rosa,Venta,2025-09-07,Fotocasa
3,2,125000.0,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/aire-acondicionado-calefaccion-parking-terraza-trastero-ascensor-patio-television-internet-no-amueblado/159812500/d,100.0,ximo,Centro - Zona Alta,Venta,2025-09-07,Fotocasa
4,2,150000.0,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/calefaccion-terraza-trastero-patio-amueblado/187468588/d,176.0,Particular,Desconocido,Venta,2025-09-07,Fotocasa
6,3,415000.0,https://www.idealista.com/inmueble/109205294/,361.0,Inmoparadise,Centro - Zona Alta,Venta,2025-09-07,Idealista
6,5,630000.0,https://www.idealista.com/inmueble/101456819/,483.0,Avangard Mediterranean Properties,Desconocido,Venta,2025-09-07,Idealista
11,4,1200.0,https://www.idealista.com/inmueble/106110913/,780.0,TEAM CONCORDE,Desconocido,Venta,2025-09-07,Idealista
4,2,138000.0,https://www.idealista.com/inmueble/108460518/,114.0,Núcleo Gestiones Inmobiliarias Alcoy,Barrio Eixample,Venta,2025-09-07,Idealista
4,2,255000.0,https://www.idealista.com/inmueble/108703897/,140.0,VITALITY VIVIENDAS,Barrio Zona Nord,Venta,2025-09-07,Idealista
3,2,85000.0,https://www.idealista.com/inmueble/108987418/,82.0,Núcleo Gestiones Inmobiliarias Alcoy,Barrio Eixample,Venta,2025-09-07,Idealista
3,1,49000.0,https://www.idealista.com/inmueble/109116527/,50.0,Núcleo Gestiones Inmobiliarias Alcoy,Barrio Eixample,Venta,2025-09-07,Idealista
3,2,165000.0,https://www.idealista.com/inmueble/107158829/,146.0,EZOVSKI. real estate,Barrio Zona Nord,Venta,2025-09-07,Idealista
3,2,119000.0,https://www.idealista.com/inmueble/108772657/,148.0,Núcleo Gestiones Inmobiliarias Alcoy,Centro - Zona Alta,Venta,2025-09-07,Idealista
2,1,99900.0,https://www.idealista.com/inmueble/108405093/,86.0,Núcleo Gestiones Inmobiliarias Alcoy,Barrio Santa Rosa,Venta,2025-09-07,Idealista
7,5,567000.0,https://www.idealista.com/inmueble/106551637/,430.0,Remax Blue,Centro - Zona Alta,Venta,2025-09-07,Idealista
4,1,165000.0,https://www.idealista.com/inmueble/108169412/,94.0,Núcleo Gestiones Inmobiliarias Alcoy,Barrio Eixample,Venta,2025-09-07,Idealista
4,2,95000.0,https://www.idealista.com/inmueble/108498530/,125.0,Núcleo Gestiones Inmobiliarias Alcoy,Barrio Eixample,Venta,2025-09-07,Idealista
3,1,49000.0,https://www.idealista.com/inmueble/107952468/,98.0,Núcleo Gestiones Inmobiliarias Alcoy,Barrio Eixample,Venta,2025-09-07,Idealista
3,2,90000.0,https://www.idealista.com/inmueble/108664854/,104.0,Clikalia España,Barrio Santa Rosa,Venta,2025-09-07,Idealista
12,5,575000.0,https://www.idealista.com/inmueble/107742464/,1329.0,FINCAS VALENCIA CONSULTORES INMOBILIARIOS,Barrio Batoi - Sargento - Baradello,Venta,2025-09-07,Idealista
3,1,35000.0,https://www.idealista.com/inmueble/108697505/,110.0,Clikalia España,Centro - Zona Alta,Venta,2025-09-07,Idealista
3,2,230000.0,https://www.idealista.com/inmueble/109100144/,140.0,Inmobiliaria carbonell,Barrio Zona Nord,Venta,2025-09-07,Idealista
7,4,2590.0,https://www.idealista.com/inmueble/106274250/,450.0,Costa Weflen Group,Barrio Eixample,Venta,2025-09-07,Idealista
2,1,50000.0,https://www.idealista.com/inmueble/107040845/,79.0,GESTORES INMOBILIARIOS,Centro - Zona Alta,Venta,2025-09-07,Idealista
3,3,290000.0,https://www.idealista.com/inmueble/109161648/,185.0,Inmobiliaria carbonell,Barrio Eixample,Venta,2025-09-07,Idealista
3,2,124900.0,https://www.idealista.com/inmueble/107527031/,100.0,Percent Servicios Inmobiliarios,Desconocido,Venta,2025-09-07,Idealista
2,1,123000.0,https://www.idealista.com/inmueble/109195492/,90.0,GESTORES INMOBILIARIOS,Desconocido,Venta,2025-09-07,Idealista
3,2,180000.0,https://www.idealista.com/inmueble/108904276/,120.0,GESTORES INMOBILIARIOS,Desconocido,Venta,2025-09-07,Idealista
5,1,229000.0,https://www.idealista.com/inmueble/107893855/,354.0,GESTOR DE PROPIEDADES ANDREAS,Barrio Batoi - Sargento - Baradello,Venta,2025-09-07,Idealista
5,2,249400.0,https://www.idealista.com/inmueble/105459636/,253.0,TEAM CONCORDE,Centro - Zona Alta,Venta,2025-09-07,Idealista
3,3,238000.0,https://www.idealista.com/inmueble/105459599/,201.0,TEAM CONCORDE,Centro - Zona Alta,Venta,2025-09-07,Idealista
3,2,150000.0,https://www.idealista.com/inmueble/107894091/,100.0,GESTOR DE PROPIEDADES ANDREAS,Barrio Santa Rosa,Venta,2025-09-07,Idealista
2,1,65000.0,https://www.idealista.com/inmueble/108775883/,71.0,Alfa & Omega,Centro - Zona Alta,Venta,2025-09-07,Idealista
4,2,99900.0,https://www.idealista.com/inmueble/109027420/,140.0,GESTORES INMOBILIARIOS,Barrio Zona Nord,Venta,2025-09-07,Idealista
4,2,110000.0,https://www.idealista.com/inmueble/103476256/,130.0,GESTORES INMOBILIARIOS,Barrio Santa Rosa,Venta,2025-09-07,Idealista
3,2,185000.0,https://www.idealista.com/inmueble/104745204/,144.0,GESTORES INMOBILIARIOS,Centro - Zona Alta,Venta,2025-09-07,Idealista
4,2,116000.0,https://www.idealista.com/inmueble/108902456/,112.0,Inmobiliaria carbonell,Centro - Zona Alta,Venta,2025-09-07,Idealista
3,2,170000.0,https://www.idealista.com/inmueble/107720098/,82.0,GESTORES INMOBILIARIOS,Barrio Zona Nord,Venta,2025-09-07,Idealista
3,2,149990.0,https://www.idealista.com/inmueble/106795925/,95.0,GESTORES INMOBILIARIOS,Centro - Zona Alta,Venta,2025-09-07,Idealista
3,2,455000.0,https://www.idealista.com/inmueble/100950082/,138.0,GESTORES INMOBILIARIOS,Barrio Eixample,Venta,2025-09-07,Idealista
3,2,1200.0,https://www.idealista.com/inmueble/107427880/,400.0,GESTORES INMOBILIARIOS,Barrio Santa Rosa,Venta,2025-09-07,Idealista
3,2,185000.0,https://www.idealista.com/inmueble/108912527/,130.0,Inmobiliaria carbonell,Centro - Zona Alta,Venta,2025-09-07,Idealista
3,2,150000.0,https://www.idealista.com/inmueble/107166315/,400.0,GESTORES INMOBILIARIOS,Barrio Eixample,Venta,2025-09-07,Idealista
2,1,48920.0,https://www.idealista.com/inmueble/108799474/,45.0,GESTORES INMOBILIARIOS,Barrio Eixample,Venta,2025-09-07,Idealista
2,1,75000.0,https://www.idealista.com/inmueble/107142290/,70.0,GESTORES INMOBILIARIOS,Centro - Zona Alta,Venta,2025-09-07,Idealista
4,2,133000.0,https://www.idealista.com/inmueble/100911633/,140.0,GESTORES INMOBILIARIOS,Barrio Santa Rosa,Venta,2025-09-07,Idealista
4,2,149900.0,https://www.idealista.com/inmueble/107065416/,160.0,Particular,Centro - Zona Alta,Venta,2025-09-07,Idealista
2,2,55000.0,https://www.idealista.com/inmueble/108999975/,70.0,RE/MAX TRUE Valencia,Centro - Zona Alta,Venta,2025-09-07,Idealista
5,2,95000.0,https://www.idealista.com/inmueble/109078627/,120.0,GESTORES INMOBILIARIOS,Desconocido,Venta,2025-09-07,Idealista
3,2,130000.0,https://www.idealista.com/inmueble/109061323/,119.0,GESTORES INMOBILIARIOS,Desconocido,Venta,2025-09-07,Idealista
8,8,759000.0,https://www.idealista.com/inmueble/108337605/,848.0,Kapitalia Inmobiliaria,Desconocido,Venta,2025-09-07,Idealista
3,2,320000.0,https://www.idealista.com/inmueble/108960623/,364.0,Kapitalia Inmobiliaria,Desconocido,Venta,2025-09-07,Idealista
3,2,124000.0,https://www.idealista.com/inmueble/108574911/,90.0,GESTORES INMOBILIARIOS,Desconocido,Venta,2025-09-07,Idealista
2,1,119000.0,https://www.idealista.com/inmueble/108696784/,90.0,GESTORES INMOBILIARIOS,Desconocido,Venta,2025-09-07,Idealista
4,3,380000.0,https://www.idealista.com/inmueble/107597487/,258.0,Kapitalia Inmobiliaria,Desconocido,Venta,2025-09-07,Idealista
3,2,98000.0,https://www.idealista.com/inmueble/106599815/,100.0,GESTORES INMOBILIARIOS,Desconocido,Venta,2025-09-07,Idealista
4,1,110000.0,https://www.idealista.com/inmueble/107797145/,95.0,GESTORES INMOBILIARIOS,Desconocido,Venta,2025-09-07,Idealista
4,1,50000.0,https://www.idealista.com/inmueble/108280849/,63.0,GESTORES INMOBILIARIOS,Desconocido,Venta,2025-09-07,Idealista
3,2,165000.0,https://www.idealista.com/inmueble/107539533/,140.0,GESTORES INMOBILIARIOS,Desconocido,Venta,2025-09-07,Idealista
4,2,135000.0,https://www.idealista.com/inmueble/107423292/,115.0,Best House Alicante Bulevar-Diputación,Barrio Zona Nord,Venta,2025-09-07,Idealista
3,2,180000.0,https://www.idealista.com/inmueble/106461773/,197.0,GESTORES INMOBILIARIOS,Barrio Eixample,Venta,2025-09-07,Idealista
3,2,115000.0,https://www.idealista.com/inmueble/106810566/,115.0,Inmobiliaria carbonell,Barrio Eixample,Venta,2025-09-07,Idealista
10,3,550000.0,https://www.idealista.com/inmueble/107510314/,1383.0,INMOBILIARIA OLCINA,Barrio Batoi - Sargento - Baradello,Venta,2025-09-07,Idealista
2,1,75000.0,https://www.idealista.com/inmueble/106025314/,70.0,GESTORES INMOBILIARIOS,Centro - Zona Alta,Venta,2025-09-07,Idealista
5,2,259000.0,https://www.idealista.com/inmueble/105933194/,230.0,GESTORES INMOBILIARIOS,Centro - Zona Alta,Venta,2025-09-07,Idealista
7,3,220000.0,https://www.idealista.com/inmueble/108387255/,290.0,TEAM CONCORDE,Barrio Eixample,Venta,2025-09-07,Idealista
3,1,70000.0,https://www.idealista.com/inmueble/107740526/,55.0,GESTORES INMOBILIARIOS,Barrio Zona Nord,Venta,2025-09-07,Idealista
4,2,117500.0,https://www.idealista.com/inmueble/107694949/,120.0,GESTORES INMOBILIARIOS,Barrio Eixample,Venta,2025-09-07,Idealista
3,2,100000.0,https://www.idealista.com/inmueble/101279040/,109.0,GESTORES INMOBILIARIOS,Barrio Eixample,Venta,2025-09-07,Idealista
10,5,723759.0,https://www.idealista.com/inmueble/108022047/,837.0,TEAM CONCORDE,Desconocido,Venta,2025-09-07,Idealista
4,2,235000.0,https://www.idealista.com/inmueble/108409004/,170.0,INMOBILIARIA OLCINA,Desconocido,Venta,2025-09-07,Idealista
6,2,195000.0,https://www.idealista.com/inmueble/108364311/,202.0,INMOBILIARIA OLCINA,Desconocido,Venta,2025-09-07,Idealista
4,2,145000.0,https://www.idealista.com/inmueble/108086763/,155.0,Guillermo MUÑIZ,Desconocido,Venta,2025-09-07,Idealista
2,1,73000.0,https://www.idealista.com/inmueble/108393054/,60.0,GESTORES INMOBILIARIOS,Desconocido,Venta,2025-09-07,Idealista
6,3,380000.0,https://www.idealista.com/inmueble/107702956/,258.0,Avangard Mediterranean Properties,Desconocido,Venta,2025-09-07,Idealista
3,2,79900.0,https://www.idealista.com/inmueble/105980519/,83.0,Soñar Home Consulting,Barrio Eixample,Venta,2025-09-07,Idealista
3,2,165000.0,https://www.idealista.com/inmueble/107632759/,141.0,HOGARABITAT SERVICIOS INMOBILIARIOS,Centro - Zona Alta,Venta,2025-09-07,Idealista
2,1,65400.0,https://www.idealista.com/inmueble/108722427/,60.0,newproinmo,Centro - Zona Alta,Venta,2025-09-07,Idealista
11,11,1590.0,https://www.idealista.com/inmueble/104597928/,1500.0,Found Valencia Real Estate,Centro - Zona Alta,Venta,2025-09-07,Idealista
5,2,590000.0,https://www.idealista.com/inmueble/108086235/,241.0,Mar & Golf Unique Homes,Centro - Zona Alta,Venta,2025-09-07,Idealista
8,5,1450.0,https://www.idealista.com/inmueble/103711112/,1426.0,Mar de Casas,Centro - Zona Alta,Venta,2025-09-07,Idealista
2,1,249000.0,https://www.idealista.com/inmueble/105487534/,354.0,Guillermo MUÑIZ,Desconocido,Venta,2025-09-07,Idealista
0,1,59900.0,https://www.idealista.com/inmueble/101806877/,59.0,Soñar Home Consulting,Centro - Zona Alta,Venta,2025-09-07,Idealista
20,10,3500.0,https://www.idealista.com/inmueble/100933633/,10140.0,inmobiliaria aracil,Barrio Batoi - Sargento - Baradello,Venta,2025-09-07,Idealista
4,1,78000.0,https://www.idealista.com/inmueble/107846273/,100.0,Grupo Conecta Inmobiliaria,Centro - Zona Alta,Venta,2025-09-07,Idealista
4,3,350000.0,https://www.idealista.com/inmueble/96761312/,258.0,inmobiliaria aracil,Barrio Batoi - Sargento - Baradello,Venta,2025-09-07,Idealista
4,3,430000.0,https://www.idealista.com/inmueble/108396915/,205.0,INMOBILIARIA OLCINA,Centro - Zona Alta,Venta,2025-09-07,Idealista
3,2,150000.0,https://www.idealista.com/inmueble/109187243/,120.0,Inmobiliaria carbonell,Barrio Eixample,Venta,2025-09-07,Idealista
3,2,230000.0,https://www.idealista.com/inmueble/108745744/,140.0,inmobanyeres,Barrio Zona Nord,Venta,2025-09-07,Idealista
0,1,73000.0,https://www.idealista.com/inmueble/108580307/,60.0,Corins Homes,Centro - Zona Alta,Venta,2025-09-07,Idealista
3,2,380000.0,https://www.idealista.com/inmueble/109187478/,200.0,HOUSES BY THE SEA,Barrio Zona Nord,Venta,2025-09-07,Idealista
4,2,177000.0,https://www.idealista.com/inmueble/109105892/,120.0,iad España,Desconocido,Venta,2025-09-07,Idealista
5,3,490000.0,https://www.idealista.com/inmueble/108770606/,469.0,Clementina Alarcon,Desconocido,Venta,2025-09-07,Idealista
4,1,68000.0,https://www.idealista.com/inmueble/107846306/,110.0,Grupo Conecta Inmobiliaria,Centro - Zona Alta,Venta,2025-09-07,Idealista
4,2,125000.0,https://www.idealista.com/inmueble/108696796/,108.0,FLIP & GO,Barrio Santa Rosa,Venta,2025-09-07,Idealista
3,1,75500.0,https://www.idealista.com/inmueble/108595373/,56.0,Soñar Home Consulting,Centro - Zona Alta,Venta,2025-09-07,Idealista
4,1,155000.0,https://www.idealista.com/inmueble/109048210/,94.0,BUVE,Desconocido,Venta,2025-09-07,Idealista
2,1,83475.0,https://www.idealista.com/inmueble/109199231/,72.0,SA ROQUETA INVESTMENT,Centro - Zona Alta,Venta,2025-09-07,Idealista
4,2,415000.0,https://www.idealista.com/inmueble/109184369/,361.0,Two & Two Grupo Inmobiliario,Centro - Zona Alta,Venta,2025-09-07,Idealista
3,2,98000.0,https://www.idealista.com/inmueble/109185830/,90.0,Inmobiliaria Blau,Barrio Santa Rosa,Venta,2025-09-07,Idealista
13,4,690000.0,https://www.idealista.com/inmueble/107860625/,4303.0,Mocadi Calpe,Centro - Zona Alta,Venta,2025-09-07,Idealista
0,1,59900.0,https://www.idealista.com/inmueble/107966055/,44.0,Soñar Home Consulting,Centro - Zona Alta,Venta,2025-09-07,Idealista
5,1,249000.0,https://www.idealista.com/inmueble/106850155/,354.0,ALTAGES INMOBILIARIA,Barrio Batoi - Sargento - Baradello,Venta,2025-09-07,Idealista
2,2,132000.0,https://www.idealista.com/inmueble/105017825/,75.0,Kevin Soriano,Desconocido,Venta,2025-09-07,Idealista
5,2,355000.0,https://www.idealista.com/inmueble/86939336/,850.0,inmobiliaria aracil,Barrio Eixample,Venta,2025-09-07,Idealista
10,3,400000.0,https://www.idealista.com/inmueble/92887373/,450.0,inmobiliaria aracil,Barrio Batoi - Sargento - Baradello,Venta,2025-09-07,Idealista
8,5,1500.0,https://www.idealista.com/inmueble/91211804/,1097.0,inmobiliaria aracil,Barrio Batoi - Sargento - Baradello,Venta,2025-09-07,Idealista
4,2,175000.0,https://www.idealista.com/inmueble/107579238/,145.0,INMOBILIARIA OLCINA,Barrio Santa Rosa,Venta,2025-09-07,Idealista
10,3,550000.0,https://www.idealista.com/inmueble/89822636/,1339.0,inmobiliaria aracil,Barrio Zona Nord,Venta,2025-09-07,Idealista
11,4,1000.0,https://www.idealista.com/inmueble/96281910/,2248.0,inmobiliaria aracil,Barrio Batoi - Sargento - Baradello,Venta,2025-09-07,Idealista
3,2,165000.0,https://www.idealista.com/inmueble/108433514/,126.0,INMOBILIARIA OLCINA,Centro - Zona Alta,Venta,2025-09-07,Idealista
3,2,199900.0,https://www.idealista.com/inmueble/107405143/,99.0,Inversiones Car&Mar,Centro - Zona Alta,Venta,2025-09-07,Idealista
4,2,155000.0,https://www.idealista.com/inmueble/108919420/,159.0,INMOBILIARIA OLCINA,Barrio Zona Nord,Venta,2025-09-07,Idealista
5,3,400000.0,https://www.idealista.com/inmueble/88650204/,351.0,inmobiliaria aracil,Barrio Santa Rosa,Venta,2025-09-07,Idealista
4,3,700000.0,https://www.idealista.com/inmueble/106789653/,256.0,INMOBILIARIA OLCINA,Centro - Zona Alta,Venta,2025-09-07,Idealista
6,3,224000.0,https://www.idealista.com/inmueble/106506148/,270.0,Kevin Soriano,Barrio Eixample,Venta,2025-09-07,Idealista
4,2,115000.0,https://www.idealista.com/inmueble/108167077/,107.0,Wolo,Barrio Santa Rosa,Venta,2025-09-07,Idealista
3,2,165000.0,https://www.idealista.com/inmueble/107581451/,140.0,Inmobiliaria Blau,Centro - Zona Alta,Venta,2025-09-07,Idealista
0,1,45000.0,https://www.idealista.com/inmueble/109000098/,47.0,RE/MAX TRUE Valencia,Centro - Zona Alta,Venta,2025-09-07,Idealista
3,1,159000.0,https://www.idealista.com/inmueble/108510805/,129.0,ALTAGES INMOBILIARIA,Barrio Santa Rosa,Venta,2025-09-07,Idealista
0,1,170000.0,https://www.idealista.com/inmueble/108809209/,322.0,Century 21 Plaza,Centro - Zona Alta,Venta,2025-09-07,Idealista
12,1,550000.0,https://www.idealista.com/inmueble/108360875/,1339.0,homes-in-costa-blanca,Desconocido,Venta,2025-09-07,Idealista
5,5,1200.0,https://www.idealista.com/inmueble/104956078/,16000.0,inmobiliaria aracil,Barrio Santa Rosa,Venta,2025-09-07,Idealista
22,12,4300.0,https://www.idealista.com/inmueble/108046261/,240.0,inmobiliaria aracil,Barrio Batoi - Sargento - Baradello,Venta,2025-09-07,Idealista
3,1,180000.0,https://www.idealista.com/inmueble/108000656/,100.0,inmobiliaria aracil,Barrio Eixample,Venta,2025-09-07,Idealista
6,2,229000.0,https://www.idealista.com/inmueble/108360861/,337.0,homes-in-costa-blanca,Desconocido,Venta,2025-09-07,Idealista
2,1,55000.0,https://www.idealista.com/inmueble/109157231/,40.0,Espana Online Inmo SL,Centro - Zona Alta,Venta,2025-09-07,Idealista
4,1,200000.0,https://www.idealista.com/inmueble/108009043/,145.0,inmobiliaria aracil,Barrio Eixample,Venta,2025-09-07,Idealista
0,1,170000.0,https://www.idealista.com/inmueble/101375541/,322.0,Hipoges,Centro - Zona Alta,Venta,2025-09-07,Idealista
3,2,175000.0,https://www.idealista.com/inmueble/104899880/,86.0,inmobiliaria aracil,Barrio Santa Rosa,Venta,2025-09-07,Idealista
6,1,185000.0,https://www.idealista.com/inmueble/104706688/,268.0,inmobiliaria aracil,Barrio Eixample,Venta,2025-09-07,Idealista
0,1,88000.0,https://www.idealista.com/inmueble/109007961/,90.0,TE COMPRO LA CASA,Centro - Zona Alta,Venta,2025-09-07,Idealista
3,1,120000.0,https://www.idealista.com/inmueble/108625788/,104.0,Gestiche gestión inmobiliaria S.L.,Barrio Zona Nord,Venta,2025-09-07,Idealista
4,1,148000.0,https://www.idealista.com/inmueble/103297292/,115.0,inmobiliaria aracil,Centro - Zona Alta,Venta,2025-09-07,Idealista
3,1,129000.0,https://www.idealista.com/inmueble/107759467/,140.0,inmobiliaria aracil,Centro - Zona Alta,Venta,2025-09-07,Idealista
3,2,93000.0,https://www.idealista.com/inmueble/108955434/,110.0,INMOBROKERS.ES,Barrio Batoi - Sargento - Baradello,Venta,2025-09-07,Idealista
3,2,170000.0,https://www.idealista.com/inmueble/107817536/,190.0,inmobiliaria aracil,Barrio Zona Nord,Venta,2025-09-07,Idealista
3,2,150000.0,https://www.idealista.com/inmueble/107748751/,100.0,inmobiliaria aracil,Barrio Eixample,Venta,2025-09-07,Idealista
5,2,480000.0,https://www.idealista.com/inmueble/105031950/,420.0,inmobiliaria aracil,Barrio Batoi - Sargento - Baradello,Venta,2025-09-07,Idealista
4,3,289000.0,https://www.idealista.com/inmueble/107630745/,464.0,Hipoges,Centro - Zona Alta,Venta,2025-09-07,Idealista
4,2,365000.0,https://www.idealista.com/inmueble/107654480/,400.0,International Realty,Barrio Batoi - Sargento - Baradello,Venta,2025-09-07,Idealista
3,2,76000.0,https://www.idealista.com/inmueble/108689535/,76.0,Solvia SE,Centro - Zona Alta,Venta,2025-09-07,Idealista
7,5,567000.0,https://www.idealista.com/inmueble/108062957/,430.0,Inmobiliaria Euro,Desconocido,Venta,2025-09-07,Idealista
4,2,139000.0,https://www.idealista.com/inmueble/105055632/,158.0,Inversiones Car&Mar,Barrio Santa Rosa,Venta,2025-09-07,Idealista
2,1,77000.0,https://www.idealista.com/inmueble/108927423/,70.0,BUVE,Desconocido,Venta,2025-09-07,Idealista
4,2,180000.0,https://www.idealista.com/inmueble/108000837/,140.0,Inmobiliaria carbonell,Barrio Santa Rosa,Venta,2025-09-07,Idealista
2,1,123000.0,https://www.idealista.com/inmueble/109198703/,90.0,inmobiliaria aracil,Desconocido,Venta,2025-09-07,Idealista
10,10,4300.0,https://www.idealista.com/inmueble/102488152/,1850.0,Inmobiiaria Tarrazó,Desconocido,Venta,2025-09-07,Idealista
3,4,280000.0,https://www.idealista.com/inmueble/108385281/,234.0,Inmobiiaria Tarrazó,Desconocido,Venta,2025-09-07,Idealista
3,2,185000.0,https://www.idealista.com/inmueble/99914687/,150.0,Inmobiiaria Tarrazó,Desconocido,Venta,2025-09-07,Idealista
3,2,178000.0,https://www.idealista.com/inmueble/101928059/,100.0,Inmobiiaria Tarrazó,Desconocido,Venta,2025-09-07,Idealista
4,2,121999.0,https://www.idealista.com/inmueble/108566822/,115.0,INMOBILIARIA OLCINA,Desconocido,Venta,2025-09-07,Idealista
0,1,80000.0,https://www.idealista.com/inmueble/104420416/,98.0,NEXT HOME INMOBILIARIA,Centro - Zona Alta,Venta,2025-09-07,Idealista
0,1,69000.0,https://www.idealista.com/inmueble/101437728/,55.0,Soñar Home Consulting,Centro - Zona Alta,Venta,2025-09-07,Idealista
3,2,175000.0,https://www.idealista.com/inmueble/104502661/,103.0,Inversiones Car&Mar,Desconocido,Venta,2025-09-07,Idealista
0,1,154000.0,https://www.idealista.com/inmueble/100699241/,100.0,INMOBILIARIA OLCINA,Barrio Batoi - Sargento - Baradello,Venta,2025-09-07,Idealista
3,2,123900.0,https://www.idealista.com/inmueble/107808469/,100.0,Inversiones Car&Mar,Desconocido,Venta,2025-09-07,Idealista
4,3,65000.0,https://www.idealista.com/inmueble/108075238/,143.0,Particular,Centro - Zona Alta,Venta,2025-09-07,Idealista
4,2,140000.0,https://www.idealista.com/inmueble/107176592/,150.0,inmobiliaria aracil,Barrio Eixample,Venta,2025-09-07,Idealista
3,2,82000.0,https://www.idealista.com/inmueble/108649187/,83.0,Inmobiliaria carbonell,Barrio Santa Rosa,Venta,2025-09-07,Idealista
0,1,61000.0,https://www.idealista.com/inmueble/1720207/,50.0,Particular,Barrio Santa Rosa,Venta,2025-09-07,Idealista
7,5,567000.0,https://www.idealista.com/inmueble/108060272/,430.0,Atelier Inmo Homes,Desconocido,Venta,2025-09-07,Idealista
10,5,450000.0,https://www.idealista.com/inmueble/107169441/,800.0,inmobiliaria aracil,Centro - Zona Alta,Venta,2025-09-07,Idealista
3,2,124000.0,https://www.idealista.com/inmueble/107884884/,100.0,Inmobiliaria carbonell,Barrio Zona Nord,Venta,2025-09-07,Idealista
3,2,130000.0,https://www.idealista.com/inmueble/97461767/,130.0,Particular,Barrio Santa Rosa,Venta,2025-09-07,Idealista
2,1,109000.0,https://www.idealista.com/inmueble/107983147/,90.0,inmobiliaria aracil,Centro - Zona Alta,Venta,2025-09-07,Idealista
4,3,353556.0,https://www.idealista.com/inmueble/108443580/,400.0,Atelier Inmo Homes,Desconocido,Venta,2025-09-07,Idealista
5,2,140000.0,https://www.idealista.com/inmueble/109071616/,155.0,TX CASAS INMOBILIARIA,Desconocido,Venta,2025-09-07,Idealista
